1;Baño;1;
2;Cuadro misión-visión;1;
3;Iluminación eléctrica;1;
4;Iluminación natural;1;
5;Limpieza;1;
6;Rótulo;1;
7;Seguridad;1;
8;Servicios básicos;1;
9;Ventilación natural;1;
10;Vigilancia;1;
11;Anaqueles;2;
12;Archivadores;2;
13;Estación de trabajo;2;
14;Estanterías;2;
15;Papelera;2;
16;Sillas de visita;2;
17;Sillas giratorias;2;
18;Ventiladores;2;
19;Computadoras;3;
20;Impresoras;3;
21;Teléfono;3;
22;Banner;4;
23;Chompa;4;
24;Pizarra;4;
25;Vehículo;5;
26;Moto;5;
27;Coordinación de movilidad;5;
28;Internet;6;
